2019/07/14 21:47:11 Step 0 ... 讀取config.property
2019/07/14 21:47:11 完成，共計讀取到 1 筆資料
=======================================
2019/07/14 21:47:11 Step 1 ... 根據設定檔逐一爬取資料
----------------------------------
2019/07/14 21:47:11 Step 1.0.1 ... 哈寵誌，跳轉到網址進行爬取
2019/07/14 21:47:14 Step 1.0.2 ... 哈寵誌，針對瀑布流網站進行頁面跳轉
2019/07/14 21:47:20 Step 1.0.3 ... 哈寵誌，訂閱者數量抓取
2019/07/14 21:47:20 Step 1.0.4 ... 哈寵誌，頁面元素解析	，完成，共計讀取到 137 筆資料
2019/07/14 21:50:55 Step 1.0.4.89 .. 黃金三分鐘！打造賺錢寵物店💎【 賺錢寵物店必備元素１】方便適宜的地理位置，第0次嘗試內容解析	成功。
2019/07/14 21:50:57 Step 1.0.4.90 .. 《寵物店創業150問》三分鐘教你開寵物店-第 20 問 要不要頂下別人的店？，第0次嘗試內容解析	成功。
2019/07/14 21:50:59 Step 1.0.4.91 .. 《寵物店創業150問》三分鐘教你開寵物店-第19問 獨立開店還是加盟好？，第0次嘗試內容解析	成功。
2019/07/14 21:51:02 Step 1.0.4.92 .. 《寵物店創業150問》三分鐘教你開寵物店-第 17 問 寵物店有哪些型態，第0次嘗試內容解析	成功。
2019/07/14 21:51:04 Step 1.0.4.93 .. 《寵物店創業150問》三分鐘教你開寵物店-第 18 問 開工作室還是寵物店比較好？，第0次嘗試內容解析	成功。
2019/07/14 21:51:07 Step 1.0.4.94 .. 《寵物店創業150問》三分鐘教你開寵物店-第 16 問 面銷的技巧有哪些，第0次嘗試內容解析	成功。
2019/07/14 21:51:10 Step 1.0.4.95 .. 《寵物店創業150問》三分鐘教你開寵物店-第 15 問 從美容學校結訓後，適合馬上創業嗎？，第0次嘗試內容解析	成功。
2019/07/14 21:51:12 Step 1.0.4.96 .. 《寵物店創業150問》三分鐘教你開寵物店-第 14 問 美容學校怎麼選好壞，第0次嘗試內容解析	成功。
2019/07/14 21:51:14 Step 1.0.4.97 .. 《寵物店創業150問》三分鐘教你開寵物店-第 13 問 開店的正確流程，第0次嘗試內容解析	成功。
2019/07/14 21:51:17 Step 1.0.4.98 .. 《寵物店創業150問》三分鐘教你開寵物店-第 12 問 開一家店到底要花多少錢？，第0次嘗試內容解析	成功。
2019/07/14 21:51:19 Step 1.0.4.99 .. 《寵物店創業150問》三分鐘教你開寵物店-第 11 問 開店創業的成本有哪些？，第0次嘗試內容解析	成功。
2019/07/14 21:51:21 Step 1.0.4.100 .. 《寵物店創業150問》三分鐘教你開寵物店-第 10 問 獨資vs合夥 哪個好？，第0次嘗試內容解析	成功。
2019/07/14 21:51:24 Step 1.0.4.101 .. 《寵物店創業150問》三分鐘教你開寵物店-第 8 問 寵物美容的３個商業模式，第0次嘗試內容解析	成功。
2019/07/14 21:51:26 Step 1.0.4.102 .. 《寵物店創業150問》三分鐘教你開寵物店-第 7 問 寵物業的４種獲利模式，第0次嘗試內容解析	成功。
2019/07/14 21:51:28 Step 1.0.4.103 .. 《寵物店創業150問》三分鐘教你開寵物店-第 6 問 投身寵物產業的好處有哪些，第0次嘗試內容解析	成功。
2019/07/14 21:51:30 Step 1.0.4.104 .. 《寵物店創業150問》三分鐘教你開寵物店-第 5 問 有哪３種陷阱你一定要注意，第0次嘗試內容解析	成功。
2019/07/14 21:51:33 Step 1.0.4.105 .. 《寵物店創業150問》三分鐘教你開寵物店-第 4 問 創業最常犯的錯誤有哪３種，第0次嘗試內容解析	成功。
2019/07/14 21:51:35 Step 1.0.4.106 .. 《寵物店創業150問》三分鐘教你開寵物店-第 3 問 如何創業開寵物店，第0次嘗試內容解析	成功。
2019/07/14 21:51:37 Step 1.0.4.107 .. 《寵物店創業150問》三分鐘教你開寵物店-第 9 問 開寵物店的門檻到底高不高，第0次嘗試內容解析	成功。
2019/07/14 21:51:40 Step 1.0.4.108 .. 《寵物店創業150問》三分鐘教你開寵物店-第 2 問 開寵物店具備能力有哪些？，第0次嘗試內容解析	成功。
2019/07/14 21:51:42 Step 1.0.4.109 .. 《寵物店創業150問》三分鐘教你開寵物店-第 1 問 寵物店創業成功關鍵因素，第0次嘗試內容解析	成功。
2019/07/14 21:51:44 Step 1.0.4.110 .. 2017台中寵物展-寵物店創業150問 張御丞著，第0次嘗試內容解析	成功。
2019/07/14 21:51:47 Step 1.0.4.111 .. 我愛米克斯-米克斯驚喜包三兄妹的歡樂時光-空氣零食，第0次嘗試內容解析	成功。
2019/07/14 21:51:50 Step 1.0.4.112 .. 17735721 1713181002314249 3639540005136760832 n，第0次嘗試內容解析	成功。
2019/07/14 21:51:52 Step 1.0.4.113 .. 失控毛孩超難拍？Sony XperiaXZ拍狗拍貓都敢動！，第0次嘗試內容解析	成功。
2019/07/14 21:51:55 Step 1.0.4.114 .. Supet Dry吉寵乾燥機 獨家優惠搶購中！，第0次嘗試內容解析	成功。
2019/07/14 21:51:58 Step 1.0.4.115 .. 熊爸來訓練！如何教狗狗不咬手？，第0次嘗試內容解析	成功。
2019/07/14 21:52:00 Step 1.0.4.116 .. 邵庭-2016哈寵誌名人寵物，第0次嘗試內容解析	成功。
2019/07/14 21:52:03 Step 1.0.4.117 .. 陳珮騏- 2016哈寵誌名人寵物，第0次嘗試內容解析	成功。
2019/07/14 21:52:05 Step 1.0.4.118 .. 狗狗訓練單-召來，第0次嘗試內容解析	成功。
2019/07/14 21:52:07 Step 1.0.4.119 .. 狗狗訓練單元「趴下」，第0次嘗試內容解析	成功。
2019/07/14 21:52:10 Step 1.0.4.120 .. 狗狗訓練單元「等待」，第0次嘗試內容解析	成功。
2019/07/14 21:52:12 Step 1.0.4.121 .. 毛和日麗午茶趣 2016，第0次嘗試內容解析	成功。
2019/07/14 21:52:15 Step 1.0.4.122 .. 2015台灣寵物市場調查報告，第0次嘗試內容解析	成功。
2019/07/14 21:52:17 Step 1.0.4.123 .. 2014狗狗聚樂部 - 吉娃娃篇，第0次嘗試內容解析	成功。
2019/07/14 21:52:19 Step 1.0.4.124 .. 2014狗狗聚樂部 - 臘腸狗篇，第0次嘗試內容解析	成功。
